Epoch: [0][0/1406], lr: 0.00100	Time 14.219 (14.219)	Data 6.563 (6.563)	Loss 3.1619 (3.1619)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Epoch: [0][20/1406], lr: 0.00100	Time 0.594 (1.245)	Data 0.000 (0.313)	Loss 2.2313 (2.6963)	Prec@1 13.333 (13.333)	Prec@5 73.333 (69.206)
Epoch: [0][40/1406], lr: 0.00100	Time 0.609 (0.935)	Data 0.000 (0.160)	Loss 1.8426 (2.3726)	Prec@1 20.000 (14.959)	Prec@5 100.000 (76.585)
Epoch: [0][60/1406], lr: 0.00100	Time 0.609 (0.830)	Data 0.000 (0.108)	Loss 1.9274 (2.2295)	Prec@1 26.667 (15.628)	Prec@5 80.000 (80.000)
Epoch: [0][80/1406], lr: 0.00100	Time 0.641 (0.779)	Data 0.000 (0.081)	Loss 1.8858 (2.1560)	Prec@1 13.333 (16.049)	Prec@5 80.000 (80.658)
Epoch: [0][100/1406], lr: 0.00100	Time 0.641 (0.750)	Data 0.000 (0.065)	Loss 2.1459 (2.1179)	Prec@1 0.000 (15.644)	Prec@5 80.000 (80.660)
Epoch: [0][120/1406], lr: 0.00100	Time 0.641 (0.730)	Data 0.000 (0.054)	Loss 1.9239 (2.0799)	Prec@1 6.667 (15.592)	Prec@5 73.333 (81.102)
Epoch: [0][140/1406], lr: 0.00100	Time 0.625 (0.716)	Data 0.000 (0.047)	Loss 2.1375 (2.0631)	Prec@1 20.000 (15.792)	Prec@5 80.000 (81.513)
Epoch: [0][160/1406], lr: 0.00100	Time 0.609 (0.705)	Data 0.000 (0.041)	Loss 1.9171 (2.0384)	Prec@1 0.000 (16.025)	Prec@5 80.000 (81.739)
Epoch: [0][180/1406], lr: 0.00100	Time 0.625 (0.695)	Data 0.000 (0.036)	Loss 1.7431 (2.0225)	Prec@1 26.667 (16.464)	Prec@5 100.000 (82.026)
Epoch: [0][200/1406], lr: 0.00100	Time 0.625 (0.688)	Data 0.000 (0.033)	Loss 2.1443 (2.0137)	Prec@1 20.000 (16.517)	Prec@5 66.667 (81.857)
